timestamp,open,high,low,close,volume,barcount
2025-01-17 16:30:00,596.95,597.3,595.61,596.12,34347,15875
2025-01-17 16:45:00,596.13,597.25,595.9,596.29,14431,6889
2025-01-17 17:00:00,596.32,597.54,596.27,597.16,13012,6657
2025-01-17 17:15:00,597.11,597.34,596.05,596.97,7959,4214
2025-01-17 17:30:00,596.99,597.72,596.78,597.41,9535,5176
2025-01-17 17:45:00,597.43,598.18,597.21,598.16,11023,5144
2025-01-17 18:00:00,598.14,598.33,597.71,598.19,8586,3944
2025-01-17 18:15:00,598.2,599.1,598.07,598.77,9531,4626
2025-01-17 18:30:00,598.77,598.94,598.1,598.68,7277,3626
2025-01-17 18:45:00,598.68,598.78,598.12,598.3,5346,2450
2025-01-17 19:00:00,598.28,598.63,597.82,598.59,5119,2518
2025-01-17 19:15:00,598.6,599.04,598.51,598.98,4343,2260
2025-01-17 19:30:00,599.0,599.1,598.63,598.92,5046,2438
2025-01-17 19:45:00,598.94,599.07,598.53,598.87,4799,2090
2025-01-17 20:00:00,598.89,599.3,598.56,599.17,4588,2018
2025-01-17 20:15:00,599.18,599.36,599.0,599.03,5857,2878
2025-01-17 20:30:00,599.03,599.11,598.52,598.63,5089,2373
2025-01-17 20:45:00,598.64,598.95,598.17,598.59,4775,2303
2025-01-17 21:00:00,598.55,598.72,598.16,598.52,6176,2807
2025-01-17 21:15:00,598.52,598.76,598.08,598.45,5781,2804
2025-01-17 21:30:00,598.48,598.71,598.31,598.48,6291,3057
2025-01-17 21:45:00,598.5,598.62,598.02,598.24,4249,2317
2025-01-17 22:00:00,598.22,598.35,597.53,598.04,10950,4959
2025-01-17 22:15:00,598.04,598.47,597.97,598.1,11334,5303
2025-01-17 22:30:00,598.1,598.59,598.06,598.29,13729,6918
2025-01-17 22:45:00,598.3,598.56,597.35,597.55,44691,20511
