timestamp,open,high,low,close,volume,barcount,macd,macd_signal,stoch,atr,signal,position
2025-01-17 21:25:00,598.69,598.73,598.42,598.45,2091,955,-0.01946272652276093,0.05886109389805949,26.302083333333655,0.49116666666666525,0,0
2025-01-17 21:30:00,598.48,598.55,598.31,598.53,2851,1155,-0.02163640446633508,0.042761594225180576,38.80208333333247,0.47449999999999853,0,0
2025-01-17 21:35:00,598.51,598.71,598.48,598.5,1575,971,-0.02548602217757434,0.029112070944629594,35.72764967637358,0.46283333333333304,0,0
2025-01-17 21:40:00,598.5,598.61,598.32,598.48,1864,931,-0.02980710702615852,0.017328235350471972,39.037216828476424,0.45,0,0
2025-01-17 21:45:00,598.5,598.62,598.4,598.41,1059,551,-0.038436935816093865,0.006175201117158804,37.7617066243946,0.43549999999999994,0,0
2025-01-17 21:50:00,598.41,598.48,598.14,598.2,1216,682,-0.061512306682061535,-0.007362300442685265,28.76717476411226,0.426333333333334,0,0
2025-01-17 21:55:00,598.19,598.34,598.02,598.24,1973,1084,-0.07569942281145359,-0.02102972491643893,25.732100855253446,0.4166666666666686,0,0
2025-01-17 22:00:00,598.22,598.22,597.53,597.73,4043,1962,-0.12663577393504966,-0.042150934720161085,19.927665259879614,0.4136666666666694,-1,0
2025-01-17 22:05:00,597.73,598.17,597.55,598.16,3415,1438,-0.13079803451398675,-0.059880354678926224,32.403134842161116,0.4101666666666707,0,0
2025-01-17 22:10:00,598.15,598.35,598.02,598.04,3491,1559,-0.1421411385626925,-0.07633251145567949,36.31436314363176,0.40400000000000397,0,0
2025-01-17 22:15:00,598.04,598.34,597.97,598.31,3450,1468,-0.12786988232107888,-0.08663998562875937,52.032520325201375,0.40466666666667,0,0
2025-01-17 22:20:00,598.3,598.47,598.23,598.43,3569,1657,-0.10565884244715562,-0.09044375699243863,59.34959349593248,0.39083333333333786,0,0
2025-01-17 22:25:00,598.44,598.44,598.03,598.1,4313,2178,-0.11337772753233821,-0.09503055110041855,60.97560975609665,0.38183333333333846,-1,0
2025-01-17 22:30:00,598.1,598.54,598.06,598.5,5034,2275,-0.08622440128829112,-0.09326932113799308,66.78184281842807,0.37966666666667187,1,1
2025-01-17 22:35:00,598.51,598.59,598.39,598.45,4358,2343,-0.06795641746407455,-0.08820674040320937,68.38029948096244,0.37466666666667264,1,1
2025-01-17 22:40:00,598.44,598.49,598.13,598.29,4337,2300,-0.06563299518063559,-0.08369199135869462,74.40207156308749,0.37316666666667214,1,1
2025-01-17 22:45:00,598.3,598.5,598.17,598.24,6484,3148,-0.06705329971430274,-0.08036425302981624,69.17016534494348,0.37133333333334045,0,1
2025-01-17 22:50:00,598.23,598.56,597.8,598.25,9364,4714,-0.06660421295612196,-0.07761224501507738,65.19981340382448,0.3773333333333407,-1,0
2025-01-17 22:55:00,598.26,598.26,597.35,597.55,28843,12649,-0.12133379782710563,-0.08635655557748304,49.10723093617321,0.3851666666666745,-1,0
