timestamp,open,high,low,close,volume,barcount,returns_5,returns_10,returns_15,volume_ma,volume_ratio,volume_ma_ratio,high_low_ratio,close_to_high,close_to_low,momentum,acceleration,signal,position
2025-01-17 16:30:00,596.95,597.3,596.06,596.31,22025,10440,,,,,,,0.002079455316865404,0.7983870967741951,0.20161290322580497,,,0,0
2025-01-17 16:35:00,596.35,596.87,595.94,596.11,6750,3055,,,,,,,0.0015601147439230174,0.817204301075303,0.18279569892469702,,,0,0
2025-01-17 16:40:00,596.12,596.67,595.61,596.12,5571,2380,,,,,,,0.0017781654700394977,0.5188679245282857,0.4811320754717143,,,0,0
2025-01-17 16:45:00,596.13,596.99,595.9,596.94,5516,2696,,,,,,,0.0018259791603846814,0.04587155963298446,0.9541284403670155,,,0,0
2025-01-17 16:50:00,596.92,597.25,596.36,596.54,4648,2262,,,,,,,0.0014919368357528186,0.7977528089888172,0.20224719101118285,,,0,0
2025-01-17 16:55:00,596.54,596.93,596.03,596.29,4266,1931,-3.3539601884902126e-05,,,,,,0.0015093327072397279,0.7111111111111139,0.2888888888888861,,,0,0
2025-01-17 17:00:00,596.32,597.16,596.27,597.06,3371,1808,0.0015936655986310555,,,,,,0.0014906374568719836,0.11235955056182502,0.887640449438175,,,0,0
2025-01-17 17:05:00,597.07,597.54,596.71,596.76,5724,2836,0.0010736093404013491,,,,,,0.0013908438903410538,0.9397590361446279,0.06024096385537218,,,0,0
2025-01-17 17:10:00,596.76,597.33,596.63,597.16,3916,2013,0.00036854625255444695,,,,,,0.0011722151517182086,0.24285714285723103,0.757142857142769,,,0,0
2025-01-17 17:15:00,597.11,597.34,597.01,597.18,2029,1092,0.0010728534549233615,,,,,,0.0005525972068723684,0.48484848484867277,0.5151515151513273,,,0,0
2025-01-17 17:20:00,597.19,597.27,596.2,596.68,3547,1866,0.0006540441731373026,0.0006204826348710224,,,,,0.0017932560166252203,0.5514018691589411,0.44859813084105893,0.0006204826348710224,,0,0
2025-01-17 17:25:00,596.67,597.0,596.05,596.97,2382,1256,-0.00015073861923409204,0.001442686752445077,,,,,0.0015913697505738067,0.03157894736839082,0.9684210526316092,0.001442686752445077,0.0008222041175740546,0,0
2025-01-17 17:30:00,596.99,597.39,596.78,597.21,2496,1324,0.0007540719887393355,0.001828490907870961,,,,,0.0010214162522396036,0.29508196721302615,0.7049180327869738,0.001828490907870961,0.000385804155425884,0,0
